City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Forecast
0,Mataura,NZ,2021-04-04 21:31:03,-46.1927,168.8643,53.01,90,99,17.0,overcast clouds
1,Ambon,ID,2021-04-04 21:31:03,-3.6954,128.1814,78.8,89,40,5.75,scattered clouds
2,Hasaki,JP,2021-04-04 21:31:04,35.7333,140.8333,61.0,94,75,4.61,light rain
3,Ushuaia,AR,2021-04-04 21:26:22,-54.8,-68.3,44.6,70,75,24.16,broken clouds
4,Airai,TL,2021-04-04 21:31:04,-8.9266,125.4092,60.08,95,100,3.36,overcast clouds
5,Florianopolis,BR,2021-04-04 21:31:05,-27.6146,-48.5012,77.0,73,40,10.36,scattered clouds
6,Ballina,AU,2021-04-04 21:31:05,-28.8667,153.5667,68.0,94,75,3.44,broken clouds
7,Temiscaming,CA,2021-04-04 21:28:00,46.7212,-79.0971,53.6,37,42,8.05,scattered clouds
8,Cape Town,ZA,2021-04-04 21:26:53,-33.9258,18.4232,64.99,88,0,17.27,clear sky
9,Kavaratti,IN,2021-04-04 21:31:06,10.5669,72.642,81.99,70,45,12.8,scattered clouds
10,Cayenne,GF,2021-04-04 21:31:06,4.9333,-52.3333,80.6,89,40,8.05,scattered clouds
11,Taoudenni,ML,2021-04-04 21:31:06,22.6783,-3.9836,87.15,6,78,10.54,broken clouds
12,Carnarvon,AU,2021-04-04 21:31:07,-24.8667,113.6333,75.2,83,14,16.11,few clouds
13,Butaritari,KI,2021-04-04 21:31:07,3.0707,172.7902,82.22,79,80,16.33,broken clouds
14,Chokurdakh,RU,2021-04-04 21:31:07,70.6333,147.9167,-21.03,98,55,4.21,broken clouds
15,Natal,BR,2021-04-04 21:28:24,-5.795,-35.2094,82.4,74,20,10.36,few clouds
16,Los Llanos De Aridane,ES,2021-04-04 21:31:08,28.6585,-17.9182,66.2,63,90,2.3,overcast clouds
17,Sabang,ID,2021-04-04 21:31:08,5.8933,95.3214,82.42,73,100,12.68,overcast clouds
18,Cherskiy,RU,2021-04-04 21:31:08,68.75,161.3,-4.09,93,64,1.59,broken clouds
19,Albany,US,2021-04-04 21:29:20,42.6001,-73.9662,60.01,27,51,9.89,broken clouds
20,Petrolia,CA,2021-04-04 21:31:09,42.8668,-82.1498,59.0,46,1,11.5,clear sky
21,Norman Wells,CA,2021-04-04 21:31:09,65.282,-126.8329,23.0,54,75,16.11,broken clouds
22,Price,US,2021-04-04 21:31:10,39.5994,-110.8107,75.2,12,1,9.22,clear sky
23,Severo-Kurilsk,RU,2021-04-04 21:31:10,50.6789,156.125,29.66,82,94,14.29,overcast clouds
24,Busselton,AU,2021-04-04 21:31:10,-33.65,115.3333,61.0,91,5,1.19,clear sky
25,Hambantota,LK,2021-04-04 21:31:11,6.1241,81.1185,69.8,100,0,1.14,clear sky
26,Lisakovsk,KZ,2021-04-04 21:31:11,52.5369,62.4936,33.71,94,100,8.32,overcast clouds
27,Mitu,CO,2021-04-04 21:31:11,1.1983,-70.1733,76.78,85,100,3.22,overcast clouds
28,Antofagasta,CL,2021-04-04 21:27:11,-23.65,-70.4,69.8,60,0,13.8,clear sky
29,Hermanus,ZA,2021-04-04 21:31:12,-34.4187,19.2345,64.99,91,97,1.99,overcast clouds
30,Calvinia,ZA,2021-04-04 21:31:12,-31.4707,19.776,66.49,64,0,4.94,clear sky
31,Kristinehamn,SE,2021-04-04 21:31:12,59.3098,14.1081,42.8,81,90,19.57,overcast clouds
32,Jizan,SA,2021-04-04 21:31:13,17.3333,42.6667,82.4,74,0,5.75,clear sky
33,Saskylakh,RU,2021-04-04 21:27:18,71.9167,114.0833,-26.88,100,23,3.76,few clouds
34,Bambous Virieux,MU,2021-04-04 21:31:13,-20.3428,57.7575,81.0,77,42,7.0,scattered clouds
35,Tumut,AU,2021-04-04 21:31:13,-35.3,148.2167,51.8,100,0,1.74,clear sky
36,Almeirim,BR,2021-04-04 21:31:14,-1.5233,-52.5817,76.68,92,97,4.45,overcast clouds
37,Bengkulu,ID,2021-04-04 21:31:14,-3.8004,102.2655,76.77,83,100,9.69,light rain
38,Vaini,TO,2021-04-04 21:31:14,-21.2,-175.2,78.8,89,20,10.36,few clouds
39,Avarua,CK,2021-04-04 21:31:15,-21.2078,-159.775,84.2,79,75,19.57,light rain
40,Namibe,AO,2021-04-04 21:31:15,-15.1961,12.1522,78.85,82,88,5.44,overcast clouds
41,Itaituba,BR,2021-04-04 21:31:16,-4.2761,-55.9836,87.8,66,20,3.44,light rain
42,Tasiilaq,GL,2021-04-04 21:31:16,65.6145,-37.6368,19.4,86,75,19.57,snow
